title,dod,name,born,awards,Occupation,Filmography
Kunal (actor),7/2/2008,Kunal Singh,,,,
Kushboo,,Nakhat Khan,29-09-1970,,,
Laila Mehdin,,,24-10-1980,,Actress,
Lakshmi (actress),,Lakshmi Yaragudipati,13-12-1952,,Film actress,
Lakshmi Gopalaswamy,,"ಲಕ್ಷ್ಮೀ ಗೋಪಾಲಸ್ವಾಮಿ,Lakshmi Gopalaswamy",,,,
Lakshmi Manchu,,Manchu Lakshmi Prasanna,8/10/1972,,Television presenter,
Lal (actor),,Paul Michael,2/12/1958,,,
Lara Dutta,,,16-04-1978,,,
Laya (actress),,,31-01-1981,,,
Lekha Washington,,,30-04-1984,,,
Linda Arsenio,,,20-06-1978,,,
Lisa Ray,,Lisa Rani Ray,4/4/1972,,,
Lissy (Malayalam actress),,,3/2/1967,,,
Livingston (actor),,,,,"Film actor,Screenwriter",
M. G. Ramachandran,24-12-1987,,17-01-1917,,,
M. K. Radha,,,,,,
M. K. Thyagaraja Bhagavathar,1/11/1959,Mayavaram Krishnamurthy Thyagaraja Bhagavathar,7/3/1910,,,
M. N. Nambiar,19-11-2008,Manjeri Narayanan Nambiar,,,,
M. R. Radha,17-09-1979,,14-04-1907,,Actor,
M. S. Bhaskar,,Muthupandi Sundaram Bhaskar,,,,
M. S. Subbulakshmi,11/12/2004,,16-09-1916,,,
M. Sasikumar,,Mahalingam Sasi Kumar,28-09-1975,,,
Madhan Bob,,S. Krishnamoorthy,,,Film actor,
Madhavi (actress),,Vijayalakshmi,,,,
Madhoo,,Madhubala Raghunath,"1972-03-26,2000-11-16,2002-11-09",,,
Madhu Shalini,,,,,News presenter,
Madhumitha,,Swapna Madhuri,,,,
Mahadevan (actor),,Pithamagan Mahadevan,,,Actor,
Mahat Raghavendra,,Mahat Raghavendra,18-02-1987,,Film actor,
Mahendran (actor),,,23-01-1991,,Actor,
Malavika,,Shweta Konnur,19-07-1979,,Film actress,
Malaysia Vasudevan,20-02-2011,,15-06-1944,,,
Mallika (actress),,Reeja Johnson,,,Film actress,
Mallika Kapoor,,Mallika Kapoor,,,"Actress,Model (person)",
Mallika Sherawat,,Reema Lamba,24-10-1976,,,
Mammootty,,Muhammad Kutty Ismail Paniparambil,7/9/1951,,"Film actor,Film Producer",
Mamta Kulkarni,,,20-04-1972,,,
Mamta Mohandas,,,14-11-1984,,,
Manasi Parekh Gohil,,,10/7/1986,,Actress,
Mandira Bedi,,,15-04-1972,,Presenter,
Manisha Koirala,,Manisha Koirala,16-08-1970,,,
Manivannan,15-06-2013,S. Manivannan Rajagopal,31-07-1953,,,
Manjari Phadnis,,,10/7/1984,,"Actor,Model (person)",
Manjula Vijayakumar,23-07-2013,,9/9/1953,,Film actress,
Manobala,,Manobala Mahadevan,,,Actor,
Manoj Bharathiraja,,Manoj Bharathiraja,11/9/1976,,Film actor,
Manoj K. Jayan,,,15-03-1966,,,
Manorama (Tamil actress),,Gopishantha,26-05-1937,,,
Manya (actress),,,,,Film actress,
Mayilsamy,,R. Mayilsamy,5/6/1965,,,
Mayoori (actress),,,,,,
Meena (actress),,,,,,
Meenakshi (actress),,Pinky Sarkar,,,,
Meenakshi (Malayalam actress),,Maria Margaret Sharmilee,,,,
Meenakshi Seshadri,,Shashikala Seshadri,,,,
Meera Chopra,,,,,,
