"","title","dod","name","born","awards","Occupation","Filmography"
"280","Monica (actress)","","Rekha","25-08-1987",Na,"","Varnam_(2011_film),Benki_Birugali,Banda_Paramasivam,Silandhi,Nanjupuram,A_Aa_E_Ee_(2009_Tamil_film),Gowravargal,Daas,Devaru_Kotta_Thangi_(2009_film)"
"281","Monisha Unni","5/12/1992","","24-01-1971",Na,"","Kadavu_(film),Kudumbasammetham"
"282","Moon Moon Sen","","Moon Moon Sen","",Na,"","Sirivennela,Jaal_(1986_film),Pyar_Ki_Jeet_(1987_film),Waqt_Ka_Badshah,Majnu_(1987_film),Mil_Gayee_Manzil_Mujhe,Sheesha_(1986_film),Yuga_Purusha,100_Days_(1991_film),Bow_Barracks_Forever,Andar_Baahar,Hirer_Angti,Tere_Bina_Kya_Jeena,Vaishakada_Dinagalu"
"283","Mukesh Tiwari","","","",Na,"Actor","Poojai,Pokkiri,Kuch_Tum_Kaho_Kuch_Hum_Kahein,Payback_(2010_film),Love_Kiya_Aur_Lag_Gayi,Yeh_Jo_Mohabbat_Hai,Bin_Phere_Free_Me_Ttere,Chaarfutiya_Chhokare,Undertrial,Wake_Up_India,Hello_Darling,Mohalla_Assi,Hostel_(2011_film),Baabarr,Zameen_(2003_film),Kachchi_Sadak,Zed_Plus"
"284","Mumtaz","","","",Na,"","Jeenay_Ki_Saza"
"285","Murali (Tamil actor)","8/9/2010","","19-05-1964",Na,"","Kanave_Kalaiyadhe,Geethanjali_(1985_film),Puthir,Mannukkul_Vairam,Naanum_Indha_Ooruthan,Namma_Ooru_Poovatha,Nangal_Puthiyavargal,Pudhiavan,Thaali_Kattiya_Raasa,Thangakkili,Thangarasu,Valayal_Satham,Vanna_Kanavugal,Namma_Veetu_Kalyanam,Aanandham,Sonnal_Thaan_Kaadhala,Thangamani_Rangamani,Anthasthu,Aval_Mella_Sirithal,Sami_Potta_Mudichu,Adharmam,Sirayil_Sila_Raagangal,Alli_Thandha_Vaanam,Arivumani,Joot,Kamarasu,Sundhara_Travels,Kadal_Pookkal,Iraniyan_(film),Manu_Needhi,Ooty_(film),Rathna,Unnudan,Dhinamdhorum,Poonthottam,Veera_Thalattu,Idhayam_(film),Kaalamellam_Kadhal_Vaazhga,Kaadhale_Nimmadhi,Pasa_Kiligal,Poovilangu,En_Aasai_Rasave,Vetri_Kodi_Kattu,Samudhiram,Pagal_Nilavu,Enga_Raasi_Nalla_Raasi,Poomani_(film),Oru_Malarin_Payanam,Ingeyum_Oru_Gangai,Kudumbam_Oru_Koyil,Ajeya,Ninaivu_Chinnam"
"286","Murali (Tamil actor)","8/9/2010","","19-05-1964",Na,"","Kanave_Kalaiyadhe,Geethanjali_(1985_film),Puthir,Mannukkul_Vairam,Naanum_Indha_Ooruthan,Namma_Ooru_Poovatha,Nangal_Puthiyavargal,Pudhiavan,Thaali_Kattiya_Raasa,Thangakkili,Thangarasu,Valayal_Satham,Vanna_Kanavugal,Namma_Veetu_Kalyanam,Aanandham,Sonnal_Thaan_Kaadhala,Thangamani_Rangamani,Anthasthu,Aval_Mella_Sirithal,Sami_Potta_Mudichu,Adharmam,Sirayil_Sila_Raagangal,Alli_Thandha_Vaanam,Arivumani,Joot,Kamarasu,Sundhara_Travels,Kadal_Pookkal,Iraniyan_(film),Manu_Needhi,Ooty_(film),Rathna,Unnudan,Dhinamdhorum,Poonthottam,Veera_Thalattu,Idhayam_(film),Kaalamellam_Kadhal_Vaazhga,Kaadhale_Nimmadhi,Pasa_Kiligal,Poovilangu,En_Aasai_Rasave,Vetri_Kodi_Kattu,Samudhiram,Pagal_Nilavu,Enga_Raasi_Nalla_Raasi,Poomani_(film),Oru_Malarin_Payanam,Ingeyum_Oru_Gangai,Kudumbam_Oru_Koyil,Ajeya,Ninaivu_Chinnam"
"287","N. Santhanam","","","21-01-1980",Na,"","Pattathu_Yaanai,Ya_Ya_(film),Theekuchi,Viyabari,Vallavanukku_Pullum_Aayudham,Idhu_Namma_Aalu_(2014_film),Azhagiya_Tamil_Magan,Salalah_Mobiles,Vaalu,Inga_Enna_Solluthu,Idhu_Namma_Aalu_(2015_film),Nannbenda,Inimey_Ippadithan"
"288","Nadhiya","","Zareena","24-10-1966",Na,"","Drushyam,M._Kumaran_S/O_Mahalakshmi,Mirchi_(film),Anbulla_Appa,Sandai,Thaamirabharani,Chinna_Thambi_Periya_Thambi,Aaru_Sundarimaarude_Katha,Attarintiki_Daredi,Rajakumaran_(film),Uyire_Unakkaga"
"289","Naga Chaitanya","","Naga Chaitanya Akkineni","23-11-1986",Na,"Actor","Bejawada_(film),Autonagar_Surya,Oka_Laila_Kosam,100%25_Love_(2011_film),Josh_(2009_film),Tadakha,Ye_Maaya_Chesave,Manam_(film),Durga_(2014_film),Untitled_Sudheer_Varma_project,Dohchay"
"290","Nagendra Prasad","","Nagendra Prasad Sundaram","",Na,"Actor,Choreographer","Ghilli,Thotta_Chinungi,123_(film),Manasella_Neene,Chithra_(film)"
"291","Nagesh","31-01-2009","Nageswaran Ceiyur Krishna Gundu Rao","27-09-1933",Na,"","Athisaya_Piravi,Maaveeran,Aasai_Mugam,Aayirathil_Oruvan_(1965_film),Kalangarai_Vilakkam,Kanni_Thaai,Panam_Padaithavan,Panathottam,Parisu,Thazhampoo,Vettaikaaran_(1964_film),Minnale,Saravana,Vasool_Raja_MBBS,Apoorva_Sagodharargal_(1989_film),Gumasthavin_Magal,Paruva_Kaalam,Pattampoochi,Kadhalikka_Neramillai,Kalam_Vellum,Kadhal_Vaaganam,Kalthoon,Pattikaattu_Ponnaiya,Thaer_Thiruvizha,Thaikku_Thalaimagan,Vietnam_Veedu,Nam_Naadu_(1969_film),Meenava_Nanban,Ragasiya_Police_115,Sivandha_Mann,Ulagam_Sutrum_Valiban,Vivasayee,Iru_Malargal,One_by_Two_(1993_film),Nenjam_Marappathillai,Mugaraasi,Naan_Aanaiyittal,Ramu_(1966_film),Thanipiravi,Thenum_Paalum,Bala_(2002_film),Nenjai_Thodu,Soaappu_Seeppu_Kannadi,Sumaithaangi,Server_Sundaram,Poove_Unakkaga,Cheran_Pandiyan,Kaavalkaaran_(1967_film),Kudiyirundha_Koyil,Naalai_Namadhe,Nalla_Neram,Pudhiya_Boomi,Poova_Thalaiya,Periya_Idathu_Penn,Apoorva_Raagangal,Savaale_Samali,Enga_Thambi,Neerkumizhi,Saraswati_Sabatham,Mounam_Sammadham,Kungumam_(film),Sorgam,Galatta_Kalyanam,Anbe_Aaruyire_(1975_film),Athaiya_Mamiya,Thaali_Bhagyam,Raman_Thediya_Seethai_(1972_film),Gauravam_(1973_film),Ethir_Neechal_(1968_film),Michael_Madana_Kama_Rajan,Thillu_Mullu_(1981_film),Naan_Yen_Pirandhen,Ethiroli,Nee_(film),Kaaval_Dheivam,Annai_Illam,Nanna_Rosha_Nooru_Varusha,Ilaya_Thalaimurai,Moondru_Dheivangal,Engirundho_Vandhaal,Mannavan_Vanthaanadi,Neela_Vanam,Pudhiya_Vazhkai,Anbu_Karangal,Azhage_Unnai_Aarathikkiren,Gowri_Kalyanam,Muthu_Chippi,Naan_Vanangum_Dheivam,Ratha_Thilagam,Thanga_Surangam,Anubavi_Raja_Anubavi,Sumathi_En_Sundari,Anjal_Petti_520,Andaman_Kadhali,Chitthi,Nil_Gavani_Kadhali,En_Thambi,Kumari_Penn,Kodimalar,Nawab_Naarkali,Nyayam_Ketkirom"
"292","Nagma","","Nandita Arvind Morarji","25-12-1974",Na,"","Super_Police,Baashha,Kurubana_Rani,Chathurangam_(2002_film),King_Uncle,Baaghi:_A_Rebel_for_Love,Major_Chandrakanth_(1993_film),Gangmaster_(film),Kondapalli_Raja,Saradha_Bullodu,Kadhalan,Varasudu,Mounam,Maya_(1999_film),Gharana_Mogudu,Citizen_(film),Rikshavodu,Police_Aur_Mujrim,Suhaag_(1994_film),Aravindhan,Janakiraman,Pistha,Aswamedham_(1992_film),Hands_Up!_(short),Khoey_Ho_Tum_Kahan,Yalgaar_(1992_film),Allari_Alludu,Killer_(1992_film)"
"293","Nakul (actor)","","Nakul Jaidev","15-06-1984",Na,"Film actor,Playback singer","Naan_Rajavaga_Pogiren,Boys_(2003_film),Amali_Thumali,Vallinam,Kandhakottai,Kadhalil_Vizhunthen,Maasilamani,Narathan,Tamizhuku_En_Ondrai_Azhuthavum"
"294","Namitha","","","10/5/1981",Na,"","1977_(film),Thagapansamy,Pandi_(film),Billa_(2009_film),Sandai,Viyabari,Gemeni_(film),Love_Ke_Chakkar_Mein,Benki_Birugali,Engal_Anna,Englishkaran,Indira_Vizha,Maha_Nadigan,Nee_Venunda_Chellam,Jaganmohini_(2009_film),Thee_(2009_film),Chanakya_(film),Ilaignan,Bambara_Kannaley,Kovai_Brothers,Billa_(2007_film),Naan_Avanillai_(2007_film),Black_Stallion_(film),Namitha_I_Love_You,Perumal_(film),Azhagiya_Tamil_Magan,Sontham,Aanai,Azhagaana_Ponnuthan"
"295","Nana Patekar","","Vishwanath Patekar","1/1/1951",Na,"Actor,Filmmaker","Prahaar:_The_Final_Attack,Darna_Mana_Hai,Dus_Kahaniyaan,Bhalu,Ab_Tak_Chhappan_2,The_Pool_(2007_film),Andha_Yudh,Yeshwant,Aanch,Yugpurush,Welcome_(2007_film),Ankush,Trishagni,Raju_Ban_Gaya_Gentleman,Paathshaala,Gang_(film),Wajood,Sinhasan,The_Attacks_of_26/11,Tarkieb,Gaman,Bhoot_(film),Krantiveer,Kamaal_Dhamaal_Malamaal,Khamoshi:_The_Musical,Parinda,Ek:_The_Power_of_One,Disha,Ab_Tak_Chhappan,Salaam_Bombay!,Awam_(film),Hum_Dono_(1995_film),Tirangaa,Deool,Hattrick_(film),Horn_'Ok'_Pleassss,Tum_Milo_Toh_Sahi,Welcome_Back_(film),Hu_Tu_Tu,Mohre,Apaharan,Shakti:_The_Power,Taxi_No._9211,Aaj_Ki_Awaaz,Diksha_(film),Raat_(film),Agni_Sakshi_(1996_film),Angaar,Garjana_-_A_fight_against_rape,Ghulam-E-Mustafa,Dr._Prakash_Baba_Amte_-_The_Real_Hero"
"296","Nandha Durairaj","","Govind Sendrampalayam Durairaj","",Na,"Film actor","Vellore_Maavattam,Katham_Katham,Eeram,Puthiya_Thiruppangal"
"297","Nandita Das","","","7/11/1969",Na,"","Azhagi,Podokkhep,Vishwa_Thulasi,I_Am_(2010_Indian_film),Biswaprakash,Oonga_(film),Ek_Alag_Mausam,Naalu_Pennungal,Kamli_(film),Hazaar_Chaurasi_Ki_Maa,Parinati,Pitaah,Before_the_Rains,Aamar_Bhuvan,Supari_(film),Deveeri,Earth_(1998_film),Fire_(1996_film),Neerparavai,Kannathil_Muthamittal,Rockford_(film),Punaradhivasam,Hari-Bhari,Shubho_Mahurat,Bawandar,Poet_of_Politics,Lal_Salaam_(2002_film),Traces_of_Sandalwood,Kagaar:_Life_on_the_Edge"
"298","Nani (actor)","","Naveen Babu Ghanta","24-02-1984",Na,"","Ashta_Chamma,Snehituda...,Bheemili_Kabaddi_Jattu,Aaha_Kalyanam,Yeto_Vellipoyindhi_Manasu,Eega,Janda_Pai_Kapiraju,Ala_Modalaindi,Paisa_(film),Ride_(2009_film),Pilla_Zamindar,Veppam,Bale_Bale_Magadivoy,Yevade_Subramanyam"
"299","Napoleon (actor)","","Kumaresan Duraisamy","2/12/1963",Na,"","Ejamaan,Kizhakku_Cheemayile,Dasavathaaram,Adi_Thadi,Sandai,Pokkiri,Aayudham_Seivom,Pudhu_Nellu_Pudhu_Naathu,Ethirum_Pudhirum,Thenkasi_Pattanam,MGR_Nagaril,Azhagar_Malai,Vattaram,Nadodi_Thendral,Rajali,Ayya_(2005_Tamil_film),Dharma_Seelan,Munarivippu,Puthiya_Parasakthi"
"300","Narain (actor)","","Sunil Kumar","7/10/1980",Na,"","Annorikkal,Njangalude_Veettile_Athidhikal,3_Dots,Minnaminnikoottam,Proprietors:_Kammath_&_Kammath,Seelabathi,Classmates_(2006_film),Grandmaster_(film),Thambikottai,Veeraputhran,The_Hit_List_(2012_Indian_film),Anjathe,Pallikoodam_(film),Chithiram_Pesuthadi,Achuvinte_Amma,By_the_People,Robin_Hood:_Prince_of_Thieves_(2009_film),Ayalum_Njanum_Thammil,Kaththukkutti,Nenjirukkum_Varai_(2006_film)"
"301","Nassar","","Mehaboob Nasser","5/3/1958",Na,"","Dharmathin_Thalaivan,Velaikaran,Madrasapattinam,Parattai_Engira_Azhagu_Sundaram,Manasellam,Sukran,Chachi_420,Apoorva_Sagodharargal_(1989_film),Kadamai_Kanniyam_Kattupaadu,Sathya_(film),Unnal_Mudiyum_Thambi,Kovil_(film),Pandi_(film),Seshu,Velai,Baahubali,Vanna_Kanavugal,Indira_(film),Brahma_(2014_film),Dindigul_Sarathy,Dhanam,Snehituda...,News_(film),Idhaya_Thirudan,Pokkiri,Thaamirabharani,Viyabari,Okkadunnadu,Matru_Devo_Bhava,Aayudham_Seivom,Poi_Solla_Porom,Irandu_Mugam,Baadshah_(2013_film),Vaathiyaar_Veettu_Pillai,Adharmam,Uttama_Villain,Kalyana_Agathigal,Oru_Oorla_Rendu_Raja,Saivam,Ethirum_Pudhirum,Udhaya,Jeans_(film),Agra_(film),Nam_Naadu_(2007_film),Onbadhu_Roobai_Nottu,Pachamarathanalil,Ready_(2008_film),Devathayai_Kanden,Eazhaiyin_Sirippil,Indira_Vizha,Jananam,Naalai,Nenjai_Thodu,Varnajalam,Yuga_(film),Karuvelam_Pookkal,Time_(1999_film),Vandae_Maatharam,Mukham,Nothing_but_Life,Athidhi_(film),Jathi_Malli,Anjaneyulu_(film),Thamassu,Rajakumaran_(film),Mugam_(film),Maanagara_Kaaval,Thamizhan,Pudhiya_Mugam,Amaravathi_(1993_film),Dhill,Pavithra,Poovellam_Kettuppar,Unnai_Kodu_Ennai_Tharuven,Vattaram,Aacharya,Aahaa_Ethanai_Azhagu,Pasa_Kiligal,Perarasu_(film),Indiralohathil_Na_Azhagappan,Satham_Podathey,Thottal_Poo_Malarum,Hey_Ram,Narasimha_(2001_film),Suryakaanti,Dracula_2012,Kilipetchu_Ketkava,Avvai_Shanmughi,Butterflies_(1993_film),Kadhalar_Dhinam,Thennavan,Ainthaam_Padai,Tales_of_The_Kama_Sutra:_The_Perfumed_Garden,Enga_Thambi,Krishna_(1996_Tamil_film),Yagavarayinum_Naa_Kaakka,Arasatchi,Emmtan-Magan,Meera_(1992_film),Anbe_Sivam,Thamizh,Virumbugiren,Marudhanayagam,Thaai_Naadu,Jigarthanda,Kaaviya_Thalaivan_(2014_film),Sutta_Kadhai,Michael_Madana_Kama_Rajan,Kathiravan,Pillaikkaga,Eeramana_Rojave,Karuppu_Vellai,Sathya_Vaakku,Manjeeradhwani,Ghazal_(1993_film),Nenjirukkum_Varai_(2006_film),Puli_(2010_film),Kavithai_Paada_Neramillai,Panchamirtham_(film),Kuruthipunal_(film)"
"302","Navdeep","","Navdeep Pallapolu","26-01-1986",Na,"Actor","Gowtam_SSC,Ilavattam,Jai_(2004_Telugu_film),Jairam,Manasu_Maata_Vinadhu,Poramboku,Chandamama_(2007_film),Ice_Cream_(2014_film),Oh_My_Friend,Baadshah_(2013_film),Aegan,Mugguru,Antha_Scene_Ledu,Modati_Cinema,Solla_Solla_Inikkum,Bangaru_Kodipetta,Nenjil_Jil_Jil,A_Aa_E_Ee_(2009_Tamil_film),Arinthum_Ariyamalum,Arya_2,Yagam_(2010_film),Mythri,Premante_Inte,Idhu_Enna_Maayam,Bham_Bolenath"
"303","Navya Nair","","Dhanya Veena","14-10-1985",Na,"","Maya_Kannadi,Gaja_(film),Chathikkatha_Chanthu,Chathurangam_(2002_film),Nam_Yajamanru,SMS_(2008_film),Azhagiya_Theeye,Chidambarathil_Oru_Appasamy,Aadum_Koothu,Jalothsavam,Kichamani_MBA,Kerala_Cafe,Kalyanaraman_(2002_film),Pasa_Kiligal,Yugapurushan,Nandanam_(film),Raman_Thediya_Seethai,Sila_Nerangalil,Drona_2010,Boss_(2011_film),Banaras_(2009_film),Pathaaka,Kavyam,Ishtam_(2001_Malayalam_film)"
"304","Nayantara","","Diana Mariam Kurian","18-11-1984",Na,"","Aadhavan,Thani_Oruvan,Masss,Tulasi_(film),Super_(2010_Indian_film),Krishnam_Vande_Jagadgurum,Arrambam,Production_No.5,Chandramukhi,Lakshmi_(2006_film),Yogi_(2007_film),Aegan,Raja_Rani_(2013_film),Yaaradi_Nee_Mohini,Dubai_Seenu,Bodyguard_(2010_film),Ghajini_(2005_film),Anjaneyulu_(film),Elektra_(2010_film),Billa_(2007_film),Sivakasi_(film),Vallavan,Raadha,Boss_(2006_film),Adhurs,Boss_Engira_Bhaskaran,Satyam_(2008_film),Jagan_Mohan_IPS,Anaamika_(2014_film),Bhaskar_the_Rascal,Idhu_Namma_Aalu_(2015_film),Nannbenda,Maya_(2015_Indian_film)"
"305","Nazriya Nazim","","","20-12-1994",Na,"Film actress,Dancer,Anchor,Model (person),Playback singer","Naiyaandi,Palunku,Raja_Rani_(2013_film),Vaayai_Moodi_Pesavum,Samsaaram_Aarogyathinu_Haanikaram,Ohm_Shanthi_Oshaana,Thirumanam_Enum_Nikkah,Bangalore_Days,Salalah_Mobiles,Maad_Dad,Neram"
"306","Nedumudi Venu","","K. Venugopal","22-05-1948",Na,"","Thanmathra,Vinodayathra,Aakasha_Gopuram,Amrutham,Bharatham,Sargam_(1992_film),Odaruthammava_Aalariyam,Panchavadi_Palam,Perumthachan_(film),Kakkakuyil,Aranyakam,August_15_(2011_film),Chamaram,Palangal,Swathi_Thirunal_(film),Ore_Thooval_Pakshikal,Vaadhyar,Achuvettante_Veedu,Lal_Bahadur_Shastri_(film),Best_Actor_(film),Collector_(film),Chithram,Spadikam,Devasuram,Harikrishnans,Dhanam,Unnam,Orissa_(film),Paadha_Mudra,Kaalapani,Poi_Solla_Porom,Isabella_(1988_film),Pothan_Vava,Oridathoru_Phayalvaan,Parannu_Parannu_Parannu,Vachanam,Akasathinte_Niram,Achante_Aanmakkal,Sapthamashree_Thaskaraha,Akkare_Akkare_Akkare,Rakthasakshikal_Sindabad,Sadayam,Thenmavin_Kombath,Ayalvasi_Oru_Daridravasi,Udhyanapalakan,Dheem_Tharikida_Thom,Celluloid_(film),Chekkaeran_Oru_Chilla,Pavakkooth,Boomi_Malayalam,Doore_Doore_Oru_Koodu_Koottam,Ilakkangal,Jalothsavam,Kanmashi,Keli_(film),Mangalam_Nerunnu,Mangamma_(film),Margam_(film),Mister_Butler,Mr._Marumakan,Ormakalundayirikkanam,Oru_Katha_Oru_Nunakkatha,Ponmudipuzhayorathu,Rachana_(film),Sruthi_(film),Thachiledathu_Chundan,Theertham_(film),Vida_Parayum_Munpe,Poochakkoru_Mookkuthi,Vaisali_(film),Thakara,Ente_Upasana,Arappatta_Kettiya_Gramathil,Swantham_Lekhakan,Megham,Padheyam,Phantom_(2002_film),Thiruvambadi_Thamban,Love_Story_(1986_film),Kadal_Kadannu_Oru_Maathukutty,Parinayam_(1994_film),Chandralekha_(1997_film),Devadas,Bhagyadevatha,Oru_Pennum_Randaanum,Uyarangalil,Oru_Yathramozhi,Churam,Asthram,Living_Together_(film),Manasariyathe,Snehapoorvam_Anna,Yamanam,Friday_(2012_film),Kolangal_(1981_film),Aagneyam,Sound_Thoma,Anagha,Devaraagam,Chinthavishtayaya_Shyamala,Vandanam,Daya_(film),Chakkikotha_Chankaran,Nagarangalil_Chennu_Raparkam,Nirnayam_(1995_film),Soorya_Gayathri,Passenger_(2009_film),Elsamma_Enna_Aankutty,Eettillam,Oru_Maravathoor_Kanavu,Appunni,Oridathu,Thampu,Kinaram,Oru_Kochu_Swapnam,Punnaram_Cholli_Cholli,Dhanya_(film),Rasam_(film),Manichitrathazhu,Puthiya_Theerangal,Manjil_Virinja_Pookkal,Arimpara,Arjunan_Saakshi,Money_Back_Policy_(film),Ormakkayi,Oru_Minnaminunginte_Nurunguvettam,Arabikkatha,Vicharana,Mosayile_Kuthira_Meenukal,Mutharamkunnu_P.O.,Kallan_Pavithran,Ponnum_Poovum,Munnariyippu,Mogamul,Puli_Varunne_Puli,Rareeram,Kaattile_Paattu,Akkare,Veruthe_Oru_Pinakkam,Aayiram_Abhilashangal,Enikku_Vishakunnu,Onninu_Purake_Mattonnu,Marikkunnilla_Njan,Chekkeranoru_Chilla,Akalangalil,Oduvil_Kittiya_Vartha,Kaliyamarddanam,Parankimala_(1981_film),Prema_Geethangal,Sandyakkenthinu_Sindhooram,Kaathirunna_Divasom,Kingini_Kombu,Naseema,Eettillum,Ambili_Ammavan_(film),Ponnum_Kudthinu_Pottu,Njan_Onnu_Parayatte,Chillu,Lord_Livingstone_7000_Kandi,Ponnum_Kudathinum_Pottu,Rugmini,Kaiyethum_Dhoorathu,Vidhyarambham,Shankanaatham,Kilippattu_(film),Venal_(film),Kanikanum_Neram,Veena_Poovu,Mandanmmar_Londanil,Mrithunjayam,Onathumbikkoru_Oonjaal,Atham_Chithira_Chothy,Agrajan,Gaanam,Ayitham,Saagaram_Santham,Vaashi,Aaroodam,Naradhan_Keralathil,Ithiri_Poove_Chuvanna_Poove,Tharattu,Vaachalam,Aamayum_Muyalum,Oru_Kochukatha_Aarum_Parayatha_Katha,Chaatta,Kinnaram,Aashrayam,Aadhipathyam,Ilaneer,Swarnappakshikal,Manja_Manthrangal,Varshangal_Poyathariyathe,Susanna_(2000_film),Aaravam,Nerkku_Nere,Vaarikuzhi,Thoranam_(film),Kunjikuruvi,Kaveri_(1986_film),Love_in_Singapore_(2009_film),Guruji_Oru_Vakku,Oru_Kudakeezhil,Janangalude_Shradhakku,Adholokam,Ambada_Njaane!,Ishtam_(2001_Malayalam_film),Moonnu_Masangalku_Mumbu,Pranaya_Nilavu,Manthra_Mothiram,Snehapoorvam_Meera,Tourist_Home_(film),Enikkum_Oru_Divasam,Parinamam,Birds_With_Large_Wings"
"307","Neetu Chandra","","","20-06-1984",Na,"Actress,Model (person)","One_Two_Three,Theeradha_Vilaiyattu_Pillai,Oye_Lucky!_Lucky_Oye!,Power_(2014_Kannada_film),Traffic_Signal_(film),Apartment_(film),Ameerin_Aadhi_Baghavan,Godavari_(film),Garam_Masala_(2005_film),Yavarum_Nalam,Satyameva_Jayate_(film)"
"308","Nikita Thukral","","","",Na,"","Bus_Conductor,Traffic_(2014_film),Yodha_(2009_film),Bhargavacharitham_Moonam_Khandam,Kurumbu,Vetrivel_Sakthivel,Vamshi_(film),Anasuya_(film),Kaiyethum_Doorath,Muran_(film),Sangolli_Rayanna_(film),Saroja_(film),Kalyana_Ramudu,Don_(2007_film),Prince_(2011_film),Kushi_Kushiga,Namo_Boothatma,Avunu_2,Software_Ganda"
"309","Nisha Agarwal","","","",Na,"Model (person),Actress","Saradaga_Ammayitho,DK_Bose,Cousins_(2014_film),Bhaiyya_Bhaiyya"
"310","Nisha Noor","","","",Na,"","NA,"
"311","Nithin Sathya","","","9/1/1980",Na,"","Vasool_Raja_MBBS,Enna_Satham_Indha_Neram,Pandhayam,Mayanginen_Thayanginen,Satham_Podathey,Muthirai,Raman_Thediya_Seethai,Chennai_600028,Palaivana_Solai_(2009_film),Thozha"
"312","Nizhalgal Ravi","","Ravichandran Samanna","16-04-1956",Na,"","Annamalai_(film),Uzhaippali,Chinna_Vathiyar,Saravana,December_Pookal,Soora_Samhaaram,Bharathi_(film),Veendum_Lisa,Mudhal_Kadhal_Mazhai,Amman_Kovil_Thiruvizha,Nizhalgal,Yemaatrathe_Yemaaraathe,Gangai_Karai_Paattu,Kadarkarai_Thaagam,Kuttravali,Budget_Padmanabhan,Kannadi_Pookal,Oru_Naal_Oru_Kanavu,Melvilasom,Katham_Katham,Thendral_Sudum,Kanden_Kadhalai,Veera_Padhakkam,Lovely_(2001_film),Ninaivellam_Nithya,Rajakali_Amman,Marupadiyum,Adhe_Neram_Adhe_Idam,Adhisaya_Manithan,Nuvvekadunte_Nenakkadunta,Manasukketha_Maharasa,Thirumathi_Oru_Vegumathi,Oray_Thaai_Oray_Kulam,Ore_Oru_Gramathiley,Maha_Maha,Ithu_Engal_Neethi,Osai,Dharma_Durai,Neethikku_Thandanai,Ore_Oru_Gramathile,Dhanushkodi_(film),Thee_Kulikkum_Pachai_Maram"
"313","Oviya","","Helen Nelson","29-04-1991",Na,"Actress","Marina_(2012_film),Sillunu_Oru_Sandhippu,Sandamarutham,Kalakalappu,Yaamirukka_Bayamey,Pulivaal,Moodar_Koodam,Manushyamrugam"
"314","P. S. Keerthana","","","",Na,"Film actress","Kannathil_Muthamittal"
"315","P. Vijay","","","20-10-1974",Na,"","NA,"
"316","Padmapriya Janakiraman","","Padmapriya Janakiraman","28-02-1980",Na,"","Bhargavacharitham_Moonam_Khandam,Cobra_(2012_film),Time_(2007_film),Andari_Bandhuvaya,Pokkisham,Aparajita_Tumi,Satham_Podathey,Pattiyal,Ivan_Megharoopan"
"317","Padmini (actress)","24-09-2006","Padmini","12/6/1932",Na,"","Arasilangkumari,Mannadhi_Mannan,Raani_Samyuktha,Raja_Desingu,Vikramaadhithan,Thirumal_Perumai,Raja_Rani_(1956_film),Thookku_Thookki,Aathi_Parasakthi,Deivapiravi,Kalyanam_Panniyum_Brammachari,Palunkupaathram,Vietnam_Veedu,Singapore_(1960_film),Raj_Tilak_(1958_film),Iru_Thuruvam,Iru_Malargal,Thenum_Paalum,Raja_Bakthi,Snehaseema,Uthama_Puthiran_(1958_film),Mangaiyar_Thilakam,Kumara_Sambhavam,Beedala_Patlu,Baagyavathi,Pudhaiyal,Nokkethadhoorathu_Kannum_Nattu,Vanjikottai_Valiban,Poove_Poochooda_Vaa,Jis_Desh_Men_Ganga_Behti_Hai,Mera_Naam_Joker,Mahabharat_(1965_film),Madurai_Veeran_(1956_film),Aurat_(1967_film),Saraswati_Sabatham,Anbu_(1953_film),Kaveri_(1955_film),Thanga_Padhumai,Veerapandiya_Kattabomman_(film),Ezhai_Padum_Padu,Amara_Deepam_(1956_film),Senthamarai,Raja_Rajan_(film),Edhir_Paradhathu,Sampoorna_Ramayanam_(1958_film),Aayiram_Kannudayaal,Gurudhatchanai,Kathanayaki,Koteeswaran,Manamagal,Marumagal_(1953_film),Penn_Deivam,Thaai,Kulama_Gunama,Naan_Vanangum_Dheivam,Paaladai,Pesum_Dheivam,Thiruvarutchelvar,Vivahitha,Punar_Jenmam,Lakshmi_Vandhachu,Chitthi,Minnalppadayaali,Ethirkalam,Thaiku_Oru_Thalattu,Thaaiku_Oru_Thaalaattu,Ponni_(1953_film),Sorgavasal,Panam_(1952_film),Illara_Jyothi,Maragadham,Vilaiyaattu_Pillai"
"318","Paloma Rao","","","",Na,"","NA,"
