"","title","dod","name","born","awards","Occupation","Filmography"
"25","Anju Aravind","","Anju Aravind","",Na,"","Poove_Unakkaga,Janumadatha,Vanarasena"
"26","Ankitha","","Ankitha Jhaveri","",Na,"","Thaka_Thimi_Tha,London_(2005_Indian_film),Simhadri_(2003_film)"
"27","Annapoorna (actress)","","","",Na,"","Mondi_Ghatam,Swargam_Narakam,Mudda_Mandaram"
"28","Anu Aggarwal","","","11/1/1969",Na,"","Aashiqui"
"29","Anu Hasan","","Anuradha Chandrahasan","15-07-1970",Na,"Actress,Model (person),TV anchor,Entrepreneur","Nala_Damayanthi,Indira_(film),Irandu_Mugam,Sarvam,Run_(2002_film),Kunthapura"
"30","Anu Prabhakar","","Anu Prabhakar","9/11/1980",Na,"","Mohini_9886788888,Snehaloka,Thavarige_Baa_Thangi,Yaarige_Saluthe_Sambala,Arputham,Annai_Kaligambal,Mussanjemaatu,Hoo_Anthiya_Uhoo_Anthiya,Shrirasthu_Shubhamasthu"
"31","Anuja Iyer","","","",Na,"","Unnaipol_Oruvan_(2009_film),Sivi,Ninaithale_Inikkum_(2009_film),Vinmeengal"
"32","Anupama Kumar","","","4/12/1974",Na,"","Oru_Oorla_Rendu_Raja,Vamsam,Assi_Nabbe_Poorey_Sau,Ayyanar_(film),Maha_Maha"
"33","Anushka Shetty","","Sweety Shetty","7/11/1981",Na,"","Vikramarkudu,Baahubali,Rudhramadevi_(film),Mirchi_(film),Billa_(2009_film),Souryam,Thakita_Thakita,Alex_Pandian,Rendu,Chintakayala_Ravi,Swagatam,Maha_Nandi,Okka_Magaadu,Baladur,Khaleja,Vettaikaaran_(2009_film),Vaanam,Arundhati_(2009_film),Nagavalli_(film),Baba_Sathya_Sai,Singam_II,Vedam_(film),Irandaam_Ulagam,Don_(2007_film),Ragada,Lakshyam_(2007_film),Size_Zero_(film),Yennai_Arindhaal...,Rudramadevi_(film),Damarukam_(film),Yennai_Arindhaal,Astram,Singam_III"
"34","Aparnaa Bajpai","","Aparna Bajpai","",Na,"Actress","O_Manasa,Karuppampatti"
"35","Aravind Akash","","","",Na,"","Kadhal_Samrajyam,Kadhal_FM,Hey_Ram,A_Aa_E_Ee_(2009_Tamil_film),Chennai_600028,Rendavathu_Padam,Inba_(film),Panchamirtham_(film),Goa_(2010_film)"
"36","Archana (actress)","","","",Na,"Actress,Dancer","Nireekshana,Parattai_Engira_Azhagu_Sundaram,Yemaatrathe_Yemaaraathe,Daasi,Engirunthalum_Vazhga,Onbadhu_Roobai_Nottu,Ladies_Tailor_(1985_film),Bagh_Bahadur,Sammohanam,Yamanam,Nandu_(film),Rettai_Vaal_Kuruvi,Piravi,Ondu_Muttina_Kathe,Kaadhal_Oviyam,Guri_(film),Veedu_(1988_film),Poottaatha_Poottukkal"
"37","Archana Gupta","","","",Na,"Film actress,Model (person)","Maasi_(film),Iruvar_Ullam,Circus_(2009_film),Rasputin_(2015_film)"
"38","Arjun Sarja","","Srinivasa Sarja","15-08-1964",Na,"","Sri_Manjunatha,Giri_(film),Madrasi_(2006_film),Marudhamalai,Kondattam,Ottran,Annanukku_Jai,Mudhal_Kural,Mudhalvan,Chinna_(2005_film),Kannodu_Kanbathellam,Vallakottai_(film),Trimurtulu,This_Weekend_(film),Simhada_Mari_Sainya,Swagatam,Ezhumalai,Jaisurya,Vaanavil,Vana_Yuddham,Kontract,Vettaiyaadu_Vilaiyaadu_(1989_film),Periya_Idathu_Pillai,Vandae_Maatharam,Rama_Rama_Krishna_Krishna,Mannavaru_Chinnavaru,Sudhandhiram,Maasi_(film),Attahasa,Adimai_Changili,Manikanda,Mankatha,Thiruvannamalai_(film),Arasatchi,Moondru_Per_Moondru_Kadal,Prasad_(film),Aanai,Rhythm_(film),Sri_Anjaneyam,Ilamai,Hanuman_Junction_(film),En_Thangai_(1989_film),Thaimel_Aanai,Aasha_(1983_film),Na_Ninna_Preetisuve,Police_Lockup,Shivanaga,Avan_(1985_film),Kulirkaala_Megangal,Padicha_Pulla,Yaar%3F,Naagam_(1985_film),Alimayya,Prathap_(1993_film),Shankar_Guru_(1987_film),Engal_Kural,Premagni,Gentleman_(1993_film),Manaivi_Oru_Manickam,Kuruthipunal_(film)"
"39","Arulnithi","","Arulnithi Tamilarasu","",Na,"","Naalu_Policeum_Nalla_Irundha_Oorum,Mouna_Guru,Udhayan_(film),Oru_Kanniyum_Moonu_Kalavaanikalum,Demonte_Colony"
"40","Arun Vijay","","Arun","19-11-1977",Na,"Film actor","Thunichal,Pandavar_Bhoomi,Malai_Malai,Vedha,Thavam,Jananam,Thadaiyara_Thaakka,Thulli_Thirintha_Kaalam,Kannaal_Pesavaa,Kathirunda_Kadhal,Priyam_(1996_film),Azhagai_Irukkirai_Bayamai_Irukkirathu,Iyarkai,Vaa_Deal,Yennai_Arindhaal...,Yennai_Arindhaal"
"41","Arvind Swamy","","","",Na,"","Daddy_(1992_film),Raja_Ko_Rani_Se_Pyar_Ho_Gaya,Indira_(film),Bombay_(film),Sasanam,Engineer_(film),Mounam,Roja,Saat_Rang_Ke_Sapne,Thalattu,Paasamalargal,Pudhayal,Devaraagam,Marupadiyum"
